    No     ,    t     ,     Y      
     0,       0.0 ,       1.0   
     1,       0.2 ,0.2530017165184952   
     2,       0.4 ,-0.5423003089130293   
     3,0.6000000000000001 ,-0.44399794031078654   
     4,       0.8 ,0.13885028597711233   
     5,       1.0 ,0.36787944117144233   
     6,       1.2 ,0.09307413008823978   
     7,       1.4 ,-0.19950113459002572   
     8,1.5999999999999999 ,-0.16333771416280368   
     9,1.7999999999999998 ,0.051080165611754734   
    10,1.9999999999999998 ,0.13533528323661273   
    11,2.1999999999999997 ,0.03424005896437999   
    12,       2.4 ,-0.07339236590604736   
    13,       2.6 ,-0.060088587008432996   
    14,2.8000000000000003 ,0.01879134278019714   
    15,3.0000000000000004 ,0.049787068367863924   
    16,3.2000000000000006 ,0.012596213757493138   
    17,3.400000000000001 ,-0.026999542555766757   
    18,3.600000000000001 ,-0.02210535580944379   
    19,3.800000000000001 ,0.006912948680840079   
    20,4.000000000000001 ,0.018315638888734165   
    21,4.200000000000001 ,0.00463388807798256   
    22,4.400000000000001 ,-0.00993257662730007   
    23,4.600000000000001 ,-0.008132105942074053   
    24,4.800000000000002 ,0.0025431316975543326   
